,QUARTER,SKILL_COUNT,COUNT,SKILL_RATIO,GROUP,TYPE
0,2019-Q2,566,283172,0.001999,Waste Management,
1,2020-Q1,753,363402,0.002072,Waste Management,
2,2019-Q1,642,318484,0.002016,Waste Management,
3,2024-Q1,1281,437134,0.00293,Waste Management,
4,2020-Q2,390,186383,0.002092,Waste Management,
5,2021-Q4,924,511861,0.001805,Waste Management,
6,2022-Q2,1188,578532,0.002053,Waste Management,
7,2022-Q1,1288,596705,0.002159,Waste Management,
8,2022-Q4,1094,502009,0.002179,Waste Management,
9,2023-Q4,1185,441052,0.002687,Waste Management,
10,2023-Q3,1381,506220,0.002728,Waste Management,
11,2023-Q2,1308,551084,0.002374,Waste Management,
12,2018-Q2,525,403022,0.001303,Waste Management,
13,2021-Q3,1041,488580,0.002131,Waste Management,
14,2018-Q1,710,449189,0.001581,Waste Management,
15,2018-Q3,666,378586,0.001759,Waste Management,
16,2018-Q4,654,354035,0.001847,Waste Management,
17,2024-Q2,1208,396924,0.003043,Waste Management,
18,2020-Q4,699,318413,0.002195,Waste Management,
19,2021-Q1,783,340041,0.002303,Waste Management,
20,2019-Q3,764,337576,0.002263,Waste Management,
21,2023-Q1,1375,576518,0.002385,Waste Management,
22,2019-Q4,716,312871,0.002288,Waste Management,
23,2021-Q2,901,431921,0.002086,Waste Management,
24,2020-Q3,623,270403,0.002304,Waste Management,
25,2022-Q3,1181,503673,0.002345,Waste Management,
26,2019-Q2,213,283172,0.000752,Renewable Energy,
27,2020-Q1,339,363402,0.000933,Renewable Energy,
28,2019-Q1,252,318484,0.000791,Renewable Energy,
29,2024-Q1,968,437134,0.002214,Renewable Energy,
30,2020-Q2,208,186383,0.001116,Renewable Energy,
31,2021-Q4,711,511861,0.001389,Renewable Energy,
32,2022-Q2,929,578532,0.001606,Renewable Energy,
33,2022-Q1,902,596705,0.001512,Renewable Energy,
34,2022-Q4,1104,502009,0.002199,Renewable Energy,
35,2023-Q4,868,441052,0.001968,Renewable Energy,
36,2023-Q3,1202,506220,0.002374,Renewable Energy,
37,2023-Q2,1072,551084,0.001945,Renewable Energy,
38,2018-Q2,221,403022,0.000548,Renewable Energy,
39,2021-Q3,770,488580,0.001576,Renewable Energy,
40,2018-Q1,228,449189,0.000508,Renewable Energy,
41,2018-Q3,202,378586,0.000534,Renewable Energy,
42,2018-Q4,216,354035,0.00061,Renewable Energy,
43,2024-Q2,762,396924,0.00192,Renewable Energy,
44,2020-Q4,430,318413,0.00135,Renewable Energy,
45,2021-Q1,481,340041,0.001415,Renewable Energy,
46,2019-Q3,237,337576,0.000702,Renewable Energy,
47,2023-Q1,1244,576518,0.002158,Renewable Energy,
48,2021-Q2,669,431921,0.001549,Renewable Energy,
49,2019-Q4,268,312871,0.000857,Renewable Energy,
50,2020-Q3,273,270403,0.00101,Renewable Energy,
51,2022-Q3,970,503673,0.001926,Renewable Energy,
52,2019-Q2,402,283172,0.00142,ISO 14000 Series,
53,2020-Q1,479,363402,0.001318,ISO 14000 Series,
54,2019-Q1,435,318484,0.001366,ISO 14000 Series,
55,2024-Q1,718,437134,0.001643,ISO 14000 Series,
56,2020-Q2,231,186383,0.001239,ISO 14000 Series,
57,2021-Q4,591,511861,0.001155,ISO 14000 Series,
58,2022-Q2,677,578532,0.00117,ISO 14000 Series,
59,2022-Q1,739,596705,0.001238,ISO 14000 Series,
60,2022-Q4,739,502009,0.001472,ISO 14000 Series,
61,2023-Q3,808,506220,0.001596,ISO 14000 Series,
62,2023-Q4,725,441052,0.001644,ISO 14000 Series,
63,2023-Q2,772,551084,0.001401,ISO 14000 Series,
64,2018-Q2,534,403022,0.001325,ISO 14000 Series,
65,2021-Q3,681,488580,0.001394,ISO 14000 Series,
66,2018-Q1,590,449189,0.001313,ISO 14000 Series,
67,2018-Q3,471,378586,0.001244,ISO 14000 Series,
68,2018-Q4,528,354035,0.001491,ISO 14000 Series,
69,2024-Q2,661,396924,0.001665,ISO 14000 Series,
70,2021-Q1,430,340041,0.001265,ISO 14000 Series,
71,2020-Q4,378,318413,0.001187,ISO 14000 Series,
72,2019-Q3,450,337576,0.001333,ISO 14000 Series,
73,2023-Q1,877,576518,0.001521,ISO 14000 Series,
74,2019-Q4,368,312871,0.001176,ISO 14000 Series,
75,2021-Q2,559,431921,0.001294,ISO 14000 Series,
76,2020-Q3,273,270403,0.00101,ISO 14000 Series,
77,2022-Q3,766,503673,0.001521,ISO 14000 Series,
78,2019-Q2,220,283172,0.000777,Environmental Laws,
79,2020-Q1,295,363402,0.000812,Environmental Laws,
80,2019-Q1,264,318484,0.000829,Environmental Laws,
81,2024-Q1,553,437134,0.001265,Environmental Laws,
82,2020-Q2,203,186383,0.001089,Environmental Laws,
83,2021-Q4,355,511861,0.000694,Environmental Laws,
84,2022-Q2,453,578532,0.000783,Environmental Laws,
85,2022-Q1,478,596705,0.000801,Environmental Laws,
86,2022-Q4,538,502009,0.001072,Environmental Laws,
87,2023-Q4,512,441052,0.001161,Environmental Laws,
88,2023-Q3,590,506220,0.001166,Environmental Laws,
89,2023-Q2,491,551084,0.000891,Environmental Laws,
90,2018-Q2,261,403022,0.000648,Environmental Laws,
91,2021-Q3,376,488580,0.00077,Environmental Laws,
92,2018-Q1,285,449189,0.000634,Environmental Laws,
93,2018-Q3,295,378586,0.000779,Environmental Laws,
