,GROUP,QUARTER,SKILL_COUNT
7,Green,2018-Q1,11.0
7,AI/ML,2018-Q1,15.5
6,Other,2018-Q1,5.0
14,Green,2018-Q2,11.0
14,AI/ML,2018-Q2,15.0
15,Other,2018-Q2,5.0
3,AI/ML,2018-Q3,15.0
2,Other,2018-Q3,5.0
3,Green,2018-Q3,10.0
1,AI/ML,2018-Q4,14.0
3,Other,2018-Q4,5.0
1,Green,2018-Q4,10.0
19,AI/ML,2019-Q1,15.0
19,Green,2019-Q1,10.0
17,Other,2019-Q1,5.0
23,Other,2019-Q2,5.0
24,AI/ML,2019-Q2,16.0
24,Green,2019-Q2,11.0
23,Green,2019-Q3,10.0
23,AI/ML,2019-Q3,15.0
25,Other,2019-Q3,5.0
17,AI/ML,2019-Q4,15.0
17,Green,2019-Q4,10.0
18,Other,2019-Q4,6.0
4,Other,2020-Q1,6.0
4,AI/ML,2020-Q1,15.0
4,Green,2020-Q1,11.0
11,AI/ML,2020-Q2,16.0
10,Other,2020-Q2,6.0
11,Green,2020-Q2,12.0
2,Green,2020-Q3,10.0
2,AI/ML,2020-Q3,16.0
0,Other,2020-Q3,6.0
8,Other,2020-Q4,5.0
8,AI/ML,2020-Q4,16.0
8,Green,2020-Q4,11.0
13,AI/ML,2021-Q1,18.0
12,Other,2021-Q1,6.0
13,Green,2021-Q1,12.0
13,Other,2021-Q2,6.0
12,Green,2021-Q2,11.0
12,AI/ML,2021-Q2,18.0
21,AI/ML,2021-Q3,18.0
20,Other,2021-Q3,6.0
21,Green,2021-Q3,11.0
25,AI/ML,2021-Q4,16.0
24,Other,2021-Q4,5.0
25,Green,2021-Q4,11.0
14,Other,2022-Q1,6.0
16,Green,2022-Q1,11.0
16,AI/ML,2022-Q1,16.0
20,AI/ML,2022-Q2,16.0
20,Green,2022-Q2,12.0
19,Other,2022-Q2,6.0
5,AI/ML,2022-Q3,18.0
5,Green,2022-Q3,12.0
7,Other,2022-Q3,6.0
16,Other,2022-Q4,6.0
15,AI/ML,2022-Q4,17.0
15,Green,2022-Q4,12.0
6,Green,2023-Q1,11.0
5,Other,2023-Q1,6.0
6,AI/ML,2023-Q1,16.0
22,Green,2023-Q2,11.0
22,AI/ML,2023-Q2,14.0
22,Other,2023-Q2,5.0
9,Other,2023-Q3,6.0
9,AI/ML,2023-Q3,16.0
9,Green,2023-Q3,12.0
11,Other,2023-Q4,6.0
10,Green,2023-Q4,12.0
10,AI/ML,2023-Q4,16.0
21,Other,2024-Q1,6.0
18,AI/ML,2024-Q1,17.0
18,Green,2024-Q1,12.0
0,Green,2024-Q2,12.0
1,Other,2024-Q2,6.0
0,AI/ML,2024-Q2,17.0
