,QUARTER,SALARY,GROUP
0,2018-Q1,55000.0,AI/ML
1,2018-Q2,50000.0,AI/ML
2,2018-Q3,47500.0,AI/ML
3,2018-Q4,50000.0,AI/ML
4,2019-Q1,50000.0,AI/ML
5,2019-Q2,50000.0,AI/ML
6,2019-Q3,45000.0,AI/ML
7,2019-Q4,50000.0,AI/ML
8,2020-Q1,50000.0,AI/ML
9,2020-Q2,50000.0,AI/ML
10,2020-Q3,50000.0,AI/ML
11,2020-Q4,50000.0,AI/ML
12,2021-Q1,52500.0,AI/ML
13,2021-Q2,50000.0,AI/ML
14,2021-Q3,50000.0,AI/ML
15,2021-Q4,48100.0,AI/ML
16,2022-Q1,52000.0,AI/ML
17,2022-Q2,52500.0,AI/ML
18,2022-Q3,49025.0,AI/ML
19,2022-Q4,47640.5,AI/ML
20,2023-Q1,47500.0,AI/ML
21,2023-Q2,45000.0,AI/ML
22,2023-Q3,48627.0,AI/ML
23,2023-Q4,46936.5,AI/ML
24,2024-Q1,47500.0,AI/ML
25,2024-Q2,45000.0,AI/ML
26,2018-Q1,32500.0,Green
27,2018-Q2,32500.0,Green
28,2018-Q3,31200.0,Green
29,2018-Q4,31253.0,Green
30,2019-Q1,32500.0,Green
31,2019-Q2,31848.0,Green
32,2019-Q3,32088.0,Green
33,2019-Q4,33050.0,Green
34,2020-Q1,33000.0,Green
35,2020-Q2,35000.0,Green
36,2020-Q3,33855.0,Green
37,2020-Q4,33500.0,Green
38,2021-Q1,34000.0,Green
39,2021-Q2,33442.0,Green
40,2021-Q3,34409.5,Green
41,2021-Q4,32500.0,Green
42,2022-Q1,34000.0,Green
43,2022-Q2,34583.0,Green
44,2022-Q3,35500.0,Green
45,2022-Q4,37027.5,Green
46,2023-Q1,37500.0,Green
47,2023-Q2,38230.0,Green
48,2023-Q3,39306.5,Green
49,2023-Q4,40000.0,Green
50,2024-Q1,38842.0,Green
51,2024-Q2,38000.0,Green
52,2018-Q1,30775.0,Other
53,2018-Q2,30000.0,Other
54,2018-Q3,28500.0,Other
55,2018-Q4,28500.0,Other
56,2019-Q1,30000.0,Other
57,2019-Q2,30000.0,Other
58,2019-Q3,29000.0,Other
59,2019-Q4,30000.0,Other
60,2020-Q1,30160.0,Other
61,2020-Q2,33280.0,Other
62,2020-Q3,32240.0,Other
63,2020-Q4,31809.0,Other
64,2021-Q1,32500.0,Other
65,2021-Q2,30090.0,Other
66,2021-Q3,28594.0,Other
67,2021-Q4,28594.0,Other
68,2022-Q1,30000.0,Other
69,2022-Q2,31000.0,Other
70,2022-Q3,30500.0,Other
71,2022-Q4,30500.0,Other
72,2023-Q1,30000.0,Other
73,2023-Q2,30621.0,Other
74,2023-Q3,31200.0,Other
75,2023-Q4,31500.0,Other
76,2024-Q1,31494.0,Other
77,2024-Q2,32500.0,Other
