,QUARTER,EDULEVELS_NAME_MIN,SALARY
0,2018-Q1,PhD Equivalent,35690.0
1,2018-Q1,Master,35690.0
2,2018-Q1,Bachelor,33514.0
3,2018-Q1,No Degree,31633.0
4,2018-Q1,HNC/HND,39250.0
5,2018-Q2,HNC/HND,37500.0
6,2018-Q2,Master,38625.0
7,2018-Q2,No Degree,30970.0
8,2018-Q2,Bachelor,35690.0
9,2018-Q2,PhD Equivalent,36175.0
10,2018-Q3,Master,35500.0
11,2018-Q3,HNC/HND,35750.0
12,2018-Q3,Bachelor,35000.0
13,2018-Q3,PhD Equivalent,35806.0
14,2018-Q3,No Degree,30000.0
15,2018-Q4,Bachelor,37250.0
16,2018-Q4,Master,38928.0
17,2018-Q4,HNC/HND,38740.0
18,2018-Q4,PhD Equivalent,36404.0
19,2018-Q4,No Degree,30160.0
20,2019-Q1,PhD Equivalent,36068.5
21,2019-Q1,Master,30000.0
22,2019-Q1,HNC/HND,40000.0
23,2019-Q1,No Degree,31500.0
24,2019-Q1,Bachelor,40000.0
25,2019-Q2,Bachelor,39000.0
26,2019-Q2,HNC/HND,36500.0
27,2019-Q2,No Degree,30000.0
28,2019-Q2,PhD Equivalent,35513.0
29,2019-Q2,Master,47367.0
30,2019-Q3,Master,40000.0
31,2019-Q3,No Degree,30500.0
32,2019-Q3,HNC/HND,40000.0
33,2019-Q3,PhD Equivalent,36404.0
34,2019-Q3,Bachelor,36000.0
35,2019-Q4,No Degree,32500.0
36,2019-Q4,PhD Equivalent,37059.0
37,2019-Q4,Bachelor,37059.0
38,2019-Q4,HNC/HND,40000.0
39,2019-Q4,Master,44250.0
40,2020-Q1,Bachelor,35000.0
41,2020-Q1,Master,37279.5
42,2020-Q1,No Degree,32500.0
43,2020-Q1,PhD Equivalent,37059.0
44,2020-Q1,HNC/HND,40000.0
45,2020-Q2,Master,52500.0
46,2020-Q2,No Degree,32500.0
47,2020-Q2,Bachelor,41294.0
48,2020-Q2,PhD Equivalent,36867.0
49,2020-Q2,HNC/HND,41580.0
50,2020-Q3,Master,35469.5
51,2020-Q3,PhD Equivalent,38294.0
52,2020-Q3,Bachelor,40000.0
53,2020-Q3,No Degree,32000.0
54,2020-Q3,HNC/HND,40000.0
55,2020-Q4,HNC/HND,42500.0
56,2020-Q4,Master,40000.0
57,2020-Q4,Bachelor,41050.0
58,2020-Q4,No Degree,32000.0
59,2020-Q4,PhD Equivalent,36867.0
60,2021-Q1,No Degree,32500.0
61,2021-Q1,HNC/HND,40700.0
62,2021-Q1,PhD Equivalent,37563.0
63,2021-Q1,Bachelor,41580.0
64,2021-Q1,Master,38529.5
65,2021-Q2,PhD Equivalent,37059.0
66,2021-Q2,Master,40322.0
67,2021-Q2,HNC/HND,41000.0
68,2021-Q2,No Degree,32500.0
69,2021-Q2,Bachelor,37500.0
70,2021-Q3,Bachelor,40000.0
71,2021-Q3,No Degree,32500.0
72,2021-Q3,HNC/HND,38200.0
73,2021-Q3,Master,46836.0
74,2021-Q3,PhD Equivalent,37059.0
75,2021-Q4,PhD Equivalent,37088.5
76,2021-Q4,No Degree,30500.0
77,2021-Q4,Bachelor,40000.0
78,2021-Q4,Master,43000.0
79,2021-Q4,HNC/HND,40000.0
80,2022-Q1,PhD Equivalent,37118.0
81,2022-Q1,Bachelor,42500.0
82,2022-Q1,Master,42844.0
83,2022-Q1,HNC/HND,42500.0
84,2022-Q1,No Degree,32500.0
85,2022-Q2,No Degree,32750.0
86,2022-Q2,HNC/HND,47500.0
87,2022-Q2,PhD Equivalent,36642.0
88,2022-Q2,Master,40000.0
89,2022-Q2,Bachelor,41500.0
90,2022-Q3,HNC/HND,40565.5
91,2022-Q3,No Degree,35000.0
92,2022-Q3,Bachelor,41320.0
93,2022-Q3,Master,42500.0
94,2022-Q3,PhD Equivalent,39267.5
95,2022-Q4,Master,42601.0
96,2022-Q4,Bachelor,42500.0
97,2022-Q4,PhD Equivalent,38861.0
98,2022-Q4,No Degree,35500.0
99,2022-Q4,HNC/HND,45000.0
100,2023-Q1,No Degree,36500.0
101,2023-Q1,Master,42500.0
102,2023-Q1,HNC/HND,42500.0
103,2023-Q1,PhD Equivalent,39220.5
104,2023-Q1,Bachelor,42500.0
105,2023-Q2,No Degree,37500.0
106,2023-Q2,Master,42500.0
107,2023-Q2,PhD Equivalent,40270.0
108,2023-Q2,HNC/HND,46201.5
109,2023-Q2,Bachelor,44769.5
110,2023-Q3,PhD Equivalent,40270.0
111,2023-Q3,No Degree,37500.0
112,2023-Q3,HNC/HND,47225.0
113,2023-Q3,Master,50000.0
114,2023-Q3,Bachelor,46000.0
115,2023-Q4,Bachelor,47500.0
116,2023-Q4,HNC/HND,45194.0
117,2023-Q4,Master,43396.0
118,2023-Q4,PhD Equivalent,40754.0
119,2023-Q4,No Degree,37500.0
120,2024-Q1,HNC/HND,50000.0
121,2024-Q1,Bachelor,45760.5
122,2024-Q1,PhD Equivalent,40521.0
123,2024-Q1,Master,45000.0
124,2024-Q1,No Degree,37260.0
125,2024-Q2,PhD Equivalent,46043.5
126,2024-Q2,Master,51500.0
127,2024-Q2,HNC/HND,46375.0
128,2024-Q2,No Degree,36500.0
129,2024-Q2,Bachelor,48666.5
