,GROUP,YEAR,PhD Equivalent,Master,Bachelor,HNC/HND
0,AI/ML,2018,0.08541621386655075,0.07454901108454684,0.1958269941317105,0.005324929363181917
1,AI/ML,2019,0.07906724511930585,0.06952277657266812,0.19934924078091107,0.005531453362255965
2,AI/ML,2020,0.08099030803185875,0.06563669513482391,0.20429901161116976,0.007676806448517416
3,AI/ML,2021,0.06787998032464339,0.05828824397442204,0.19736842105263158,0.0038121003443187407
4,AI/ML,2022,0.06102793500091291,0.05153368632463027,0.18983932809932444,0.004381960927515063
5,AI/ML,2023,0.06335616438356165,0.04616438356164384,0.1852054794520548,0.010821917808219178
0,Green,2018,0.013424676492976264,0.017092242751366688,0.14068230572278734,0.05992664867483219
1,Green,2019,0.013725490196078431,0.018809005083514886,0.1487291212781409,0.04960058097312999
2,Green,2020,0.011521096061030672,0.01946131091390316,0.15537910633660285,0.050521563132492606
3,Green,2021,0.009307572979833591,0.018709161848352373,0.15150660461618012,0.04146100691016782
4,Green,2022,0.010933499411805412,0.01930662237907411,0.1635526953152031,0.04058542661407515
5,Green,2023,0.008748296300992107,0.01775016640781007,0.15632825129164157,0.05030270373070462
0,Other,2018,0.005757751388671487,0.009977705106672815,0.08840045069246726,0.015079019250321873
1,Other,2019,0.007260871550449403,0.010486949924660444,0.09501915977956595,0.016214687876478253
2,Other,2020,0.007521207888162235,0.012627375685496487,0.09689222217593853,0.021428273890539494
3,Other,2021,0.005824006623035746,0.011291774202146842,0.09107991232003813,0.013349556425943987
4,Other,2022,0.00529042643014991,0.012950275056589076,0.08932387387866512,0.013469440886259124
5,Other,2023,0.004682954198357527,0.013028545061858104,0.08683801213549644,0.016738839870803105
