,Variable,Coefficient,Std.Err.,t,P>|t|,[0.025,0.975],GROUP,CONF,EXP_CONTROL
0,HNC/HND,-0.1372800075714241,0.027380614703408204,-5.013766456979367,5.373600201357555e-07,-0.1909475998505086,-0.08361241529233962,AI/ML,0.05366759227908449,False
1,Bachelor,-0.09258142810748018,0.007059222987327674,-13.114960141318278,3.6311463580642674e-39,-0.1064179144389534,-0.07874494177600697,AI/ML,0.013836486331473219,False
2,Master,0.032934923756289765,0.011178624919508894,2.9462410621553157,0.0032195546946347502,0.011024170804993145,0.05484567670758639,AI/ML,0.02191075295129662,False
3,PhD Equivalent,-0.0033747330626481,0.010066186554526275,-0.3352543730804041,0.7374359952478778,-0.02310504232215035,0.01635557619685415,AI/ML,0.01973030925950225,False
4,HNC/HND,0.13271765880930142,0.00783281267458975,16.943806053200756,3.383739027730389e-64,0.11736521529101128,0.14807010232759157,Green,0.01535244351829014,False
5,Bachelor,0.09105336841083594,0.005103077356331789,17.842835225270274,5.7742558643274e-71,0.08105125165695193,0.10105548516471996,Green,0.010002116753884016,False
6,Master,0.12937857699230984,0.014839983349498577,8.718242732845207,2.919991306360356e-18,0.10029196204942462,0.15846519193519507,Green,0.029086614942885225,False
7,PhD Equivalent,0.11761834055326247,0.016360549279223563,7.189143747308488,6.621021055691061e-13,0.08555139102026629,0.14968529008625864,Green,0.03206694953299617,False
8,HNC/HND,0.07208233428080031,0.0014840683841291604,48.57076335003097,0.0,0.06917361277563938,0.07499105578596124,Other,0.00290872150516093,False
9,Bachelor,0.0660556340064189,0.0007128961136149903,92.6581485645371,0.0,0.06465838285627439,0.0674528851565634,Other,0.00139725115014451,False
10,Master,0.1112255478745692,0.0019162652690820022,58.04287624951447,0.0,0.10746973577225659,0.11498135997688182,Other,0.003755812102312614,False
11,PhD Equivalent,0.2910352671406353,0.0025591517998403853,113.72333097192094,0.0,0.28601942019262894,0.2960511140886417,Other,0.005015846948006386,False
12,HNC/HND,-0.10873991231208846,0.050471801149216164,-2.1544686307232612,0.03124676239641319,-0.20768461496065083,-0.009795209663526108,AI/ML,0.09894470264856237,True
13,Bachelor,-0.024546986621747813,0.013438881767091952,-1.8265646686360832,0.06781946542865172,-0.05089251283831617,0.0017985395948205453,AI/ML,0.026345526216568355,True
14,Master,0.08695090110661213,0.022003120940194115,3.9517530873438464,7.855355575774449e-05,0.04381607712180031,0.13008572509142396,AI/ML,0.043134823984811825,True
15,PhD Equivalent,0.11383622703499824,0.02508764030328006,4.537542218353427,5.812565439206798e-06,0.06465452451117848,0.163017929558818,AI/ML,0.04918170252381976,True
16,HNC/HND,0.1411562614967362,0.014585720724281295,9.677702196899265,4.55072710360589e-22,0.11256576977287301,0.1697467532205994,Green,0.0285904917238632,True
17,Bachelor,0.1073402864506131,0.009286164057465742,11.559163265516009,9.802758695795003e-31,0.08913782654820794,0.12554274635301826,Green,0.018202459902405155,True
18,Master,0.20569394022845083,0.027027383148215987,7.6105755078263355,2.94149446373103e-14,0.15271567547048326,0.2586722049864184,Green,0.052978264757967575,True
19,PhD Equivalent,0.18636961087434956,0.04464072835917452,4.174878361635133,3.0033830234396242e-05,0.09886619579966571,0.2738730259490334,Green,0.08750341507468384,True
20,HNC/HND,0.07719980501114922,0.002584494729463491,29.870366586963378,5.98636502680016e-196,0.07213428147239434,0.0822653285499041,Other,0.005065523538754876,True
21,Bachelor,0.07752904773123039,0.0012754464065778694,60.785813760099394,0.0,0.07502921527992502,0.08002888018253575,Other,0.0024998324513053616,True
22,Master,0.12298458886740227,0.0036616341320297274,33.58735046508568,3.682749738200736e-247,0.11580790799641623,0.13016126973838832,Other,0.007176680870986038,True
23,PhD Equivalent,0.35170112745511684,0.005950360912020658,59.10584797379696,0.0,0.34003861836956545,0.3633636365406682,Other,0.011662509085551387,True
