,GROUP,SOC_1,OCCUPATION,YEAR,SKILL_COEF,DEGREE_COEF,DEGREE_PREV,DEMAND,LOG_COUNT,DEMAND_CHANGE
41,AI/ML,Administrative and secretarial occupations,Administrative occupations,2018,0.32077878081199146,1.6403028097388574,0.22,0.0014155483834437461,11.570873566924426,
37,AI/ML,Administrative and secretarial occupations,Administrative occupations,2019,0.48309202892008785,-1.4426465766194996,0.25735294117647056,0.0016135538523598225,11.341971056651351,
39,AI/ML,Administrative and secretarial occupations,Administrative occupations,2020,0.2339374741176692,-0.83601157086858,0.13291139240506328,0.002414868252124473,11.088705580378416,0.7059595280308126
40,AI/ML,Administrative and secretarial occupations,Administrative occupations,2021,-0.02167475521000073,0.20335150672708024,0.22602739726027396,0.002563854913908913,11.642997129631992,0.5889490828950488
38,AI/ML,Administrative and secretarial occupations,Administrative occupations,2022,0.1479717957564961,-0.12525779358134947,0.2157676348547718,0.003160987382282731,11.934814951492534,0.30896887625312974
36,AI/ML,Administrative and secretarial occupations,Administrative occupations,2023,0.21635167376116682,0.1781468692446435,0.16,0.002392458969328676,11.893366738973565,-0.06685087508283483
35,AI/ML,Associate professional occupations,Business and public service associate professionals,2018,0.4039930652279423,0.03987124359786698,0.4777777777777778,0.014727725888069284,11.975929655195719,
31,AI/ML,Associate professional occupations,Business and public service associate professionals,2019,0.34185801920326486,0.0885322443635691,0.465780403741999,0.016218935667284228,11.737859412568058,
33,AI/ML,Associate professional occupations,Business and public service associate professionals,2020,0.327860164357331,0.12094175744502644,0.468075737560546,0.022330822631713505,11.529762916159896,0.5162437705201575
34,AI/ML,Associate professional occupations,Business and public service associate professionals,2021,0.35394940653662393,0.11942506018596988,0.4253106038717134,0.019932272889574863,12.064727951263805,0.22895073378834185
32,AI/ML,Associate professional occupations,Business and public service associate professionals,2022,0.354405744376031,0.029331239055960467,0.38025851938895416,0.02003597528817901,12.266075897865983,-0.10276591155560155
30,AI/ML,Associate professional occupations,Business and public service associate professionals,2023,0.18727306449148728,0.06476086383323662,0.3778217821782178,0.014061682055623002,12.098298107352079,-0.29452691454080704
59,AI/ML,Professional occupations,"Business, media and public service professionals",2018,0.11459754071780326,-0.08033427619711986,0.4288577154308617,0.005751398949995101,12.064065434424608,
55,AI/ML,Professional occupations,"Business, media and public service professionals",2019,0.11696910213286071,0.05161960205248528,0.41557305336832895,0.008508642637009246,11.808084515027552,
57,AI/ML,Professional occupations,"Business, media and public service professionals",2020,0.099816350942741,-0.03787898209667295,0.4343807763401109,0.008431453529599701,11.762352557797954,0.4659830769706703
58,AI/ML,Professional occupations,"Business, media and public service professionals",2021,0.22664657288345486,-0.2737110560902778,0.3789528252980819,0.009999429788866369,12.16998422163295,0.1752085750284993
56,AI/ML,Professional occupations,"Business, media and public service professionals",2022,0.1564210892577354,-0.12154519866546898,0.37250554323725055,0.01138634900464122,12.378566905568622,0.3504609809765278
54,AI/ML,Professional occupations,"Business, media and public service professionals",2023,0.1427529702877934,-0.10527766969341013,0.3403431101272828,0.00892667480128639,12.21813460670805,-0.10728161607518982
95,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2018,0.14437732437255857,0.0,0.08333333333333333,0.0008250683259707444,10.97124536660834,
91,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2019,0.10729040454731176,0.0,0.07547169811320754,0.0010208012326656394,10.857459351377972,
93,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2020,-0.04181041076122405,0.0,0.10714285714285714,0.0008316255309037988,11.117479992244311,0.007947468987298034
94,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2021,0.01821882008671838,0.39343690189203384,0.12,0.0008339263476249778,11.406853585241857,-0.18306686851530474
92,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2022,-0.10050526333421866,0.0,0.12222222222222222,0.0015549009614470946,11.65930027665719,0.8697128739629365
90,AI/ML,"Caring, leisure and other service occupations",Caring personal service occupations,2023,0.02375744983633621,0.0,0.07027027027027027,0.0015599045507053298,11.683486470116224,0.8705543422964606
155,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2018,0.0,,,0.0,6.159095388491933,
151,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2019,0.0,,0.0,0.0026109660574412533,5.948034989180646,
153,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2020,0.0,,0.0,0.00390625,5.545177444479562,inf
154,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2021,0.0,,0.0,0.0016611295681063123,6.400257445308821,-0.3637873754152824
152,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2022,0.0,,1.0,0.0012738853503184713,6.665683717782408,-0.6738853503184714
150,AI/ML,"Caring, leisure and other service occupations",Community and civil enforcement occupations,2023,0.0,,,0.0,6.824373670043086,-1.0
5,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2018,0.15430474986594633,-0.024569029909958573,0.16533864541832669,0.004327474289458031,11.66137133182305,
1,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2019,0.2109169688864671,0.11665499324911899,0.19320214669051877,0.00626906513547461,11.398277509809317,
3,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2020,0.17139190896707768,0.006179250420218274,0.2672566371681416,0.007258199195817222,11.262449256713312,0.6772368153633173
4,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2021,0.28937127522434203,-0.1516382905043611,0.24971493728620298,0.007221732721778012,11.707167358076449,0.15196326178086195
2,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2022,0.25369959606721854,-0.04483416990394773,0.22913256955810146,0.008050331038571758,11.93028620532478,0.10913613988591386
0,AI/ML,"Managers, directors and senior officials",Corporate managers and directors,2023,0.15710944988930764,0.03804764642694369,0.23996175908221798,0.007603291367429418,11.83190269540272,0.05283477807213344
77,AI/ML,Associate professional occupations,"Culture, media and sports occupations",2018,0.03338311587149323,0.3470661111710207,0.34782608695652173,0.0026282710547366017,9.770070439095777,
73,AI/ML,Associate professional occupations,"Culture, media and sports occupations",2019,-0.2604505220318263,0.8889224591993785,0.39655172413793105,0.003417997524898344,9.739143428972826,
